phase 222
delta 0.85 0.05
ebv 0.0177
Rv 3.1
redshift 0.004
flux_scale 1e16
resolution 3
vSi 11.90 0.10
3501.164642 4.133925e-17 4.133925e-17
3504.270353 5.074958e-16 5.074958e-16
3507.376064 2.634567e-16 2.634567e-16
3510.481776 1.802444e-16 1.802444e-16
3513.587487 1.699801e-16 1.699801e-16
3516.693198 1.44741e-16 1.44741e-16
3519.79891 1.512185e-16 1.512185e-16
3522.904621 2.058719e-16 2.058719e-16
3526.010332 4.17006e-16 4.17006e-16
3529.116044 4.882873e-17 4.882873e-17
3532.221755 2.392911e-16 2.392911e-16
3535.327466 1.158191e-16 1.158191e-16
3538.433178 1.416596e-16 1.416596e-16
3541.538889 4.237935e-16 4.237935e-16
3544.6446 2.727465e-16 2.727465e-16
3547.750312 2.124103e-16 2.124103e-16
3550.856023 8.106792e-17 8.106792e-17
3553.961734 1.800184e-16 1.800184e-16
3557.067445 3.0012e-16 3.0012e-16
3560.173157 3.136122e-16 3.136122e-16
3563.278868 3.871212e-16 3.871212e-16
3566.384579 3.475092e-16 3.475092e-16
3569.490291 3.59161e-16 3.59161e-16
3572.596002 2.632775e-18 2.632775e-18
3575.701713 2.124705e-16 2.124705e-16
3578.807425 2.637696e-16 2.637696e-16
3581.913136 -2.766975e-17 -2.766975e-17
3585.018847 2.527697e-16 2.527697e-16
3588.124559 3.084992e-16 3.084992e-16
3591.23027 7.93411e-17 7.93411e-17
3594.335981 2.722065e-16 2.722065e-16
3597.441693 2.463649e-16 2.463649e-16
3600.547404 1.294814e-16 1.294814e-16
3603.653115 2.088558e-16 2.088558e-16
3606.758827 3.02765e-16 3.02765e-16
3609.864538 -1.200465e-16 -1.200465e-16
3612.970249 8.59705e-17 8.59705e-17
3616.07596 2.276553e-16 2.276553e-16
3619.181672 2.578368e-16 2.578368e-16
3622.287383 2.45577e-16 2.45577e-16
3625.393094 2.107552e-16 2.107552e-16
3628.498806 1.227171e-16 1.227171e-16
3631.604517 6.348768e-17 6.348768e-17
3634.710228 2.645694e-16 2.645694e-16
3637.81594 6.6791e-17 6.6791e-17
3640.921651 4.839137e-17 4.839137e-17
3644.027362 8.09307e-17 8.09307e-17
3647.133074 1.187478e-16 1.187478e-16
3650.238785 1.799478e-16 1.799478e-16
3653.344496 1.571033e-16 1.571033e-16
3656.450208 1.265917e-16 1.265917e-16
3659.555919 1.550286e-16 1.550286e-16
3662.66163 -6.206703e-17 -6.206703e-17
3665.767342 -4.253911e-17 -4.253911e-17
3668.873053 2.379337e-16 2.379337e-16
3671.978764 3.6695e-17 3.6695e-17
3675.084476 -8.75705e-18 -8.75705e-18
3678.190187 1.672904e-16 1.672904e-16
3681.295898 1.441118e-17 1.441118e-17
3684.401609 1.830858e-16 1.830858e-16
3687.507321 1.597328e-16 1.597328e-16
3690.613032 1.154846e-16 1.154846e-16
3693.718743 9.932894e-17 9.932894e-17
3696.824455 1.742156e-16 1.742156e-16
3699.930166 9.124607e-17 9.124607e-17
3703.035877 2.635925e-16 2.635925e-16
3706.141589 1.728465e-16 1.728465e-16
3709.2473 1.489691e-16 1.489691e-16
3712.353011 9.37175e-18 9.37175e-18
3715.458723 1.605396e-16 1.605396e-16
3718.564434 8.573315e-17 8.573315e-17
3721.670145 1.191072e-16 1.191072e-16
3724.775857 1.598025e-17 1.598025e-17
3727.881568 1.379357e-16 1.379357e-16
3730.987279 1.833698e-16 1.833698e-16
3734.092991 1.755289e-16 1.755289e-16
3737.198702 1.129661e-16 1.129661e-16
3740.304413 1.234e-16 1.234e-16
3743.410124 1.327392e-16 1.327392e-16
3746.515836 9.501972e-17 9.501972e-17
3749.621547 -4.71279e-18 -4.71279e-18
3752.727258 1.8578e-16 1.8578e-16
3755.83297 1.751912e-16 1.751912e-16
3758.938681 6.249675e-17 6.249675e-17
3762.044392 2.877215e-17 2.877215e-17
3765.150104 1.839062e-16 1.839062e-16
3768.255815 6.933175e-18 6.933175e-18
3771.361526 1.8008e-16 1.8008e-16
3774.467238 1.057515e-16 1.057515e-16
3777.572949 9.058137e-17 9.058137e-17
3780.67866 1.180295e-16 1.180295e-16
3783.784372 2.062095e-16 2.062095e-16
