phase 384
delta 1.05 0.07
ebv 0.20
Rv 3.1
redshift 0.001458
flux_scale 1e16
resolution 2
vSi 15.00 0.15
2989.20 2.12110854e-16 8.53011570e-16
2991.00 1.02663252e-15 7.83450948e-16
2991.20 -7.07683587e-17 7.71240439e-16
2991.40 -5.86975092e-16 7.67330429e-16
2991.60 -1.39931135e-15 7.67686342e-16
2991.80 7.23250093e-16 7.52289242e-16
2992.00 7.21890129e-16 7.52108665e-16
2992.20 1.83370711e-15 7.46967545e-16
2992.40 -3.27352003e-16 7.27030243e-16
2992.60 4.03204385e-16 7.12164973e-16
2992.80 -6.72153678e-16 7.10444543e-16
2993.00 1.09623205e-15 7.09482049e-16
2993.20 5.20952209e-16 6.91223672e-16
2993.40 9.08356439e-16 6.83947712e-16
2993.60 -6.71929902e-16 6.70847447e-16
2993.80 -1.07477427e-15 6.69735134e-16
2994.00 -1.08898314e-15 6.51689838e-16
2994.20 2.16874964e-16 6.64399356e-16
2994.40 1.08951476e-15 6.38713400e-16
2994.60 1.62226265e-16 6.37877272e-16
2994.80 -8.80369570e-16 6.37678272e-16
2995.00 -2.87930983e-16 6.21360606e-16
2995.20 -3.26789996e-16 6.10666286e-16
2995.40 1.00317235e-15 6.10463951e-16
2995.60 3.25604441e-16 5.95557971e-16
2995.80 1.82521558e-16 5.90369894e-16
2996.00 -7.88505723e-16 5.76800744e-16
2996.20 1.39217409e-16 5.57983483e-16
2996.40 -2.10006030e-16 5.78224818e-16
2996.60 6.78066074e-16 5.52241765e-16
2996.80 9.17578933e-16 5.54920930e-16
2997.00 1.06366672e-16 5.50171087e-16
2997.20 -8.29654584e-16 5.37939507e-16
2997.40 -7.79127639e-16 5.28772758e-16
2997.60 -1.29569973e-15 5.22354684e-16
2997.80 1.15572648e-15 5.15566667e-16
2998.00 -7.50737808e-17 5.08621685e-16
2998.20 -5.65619432e-16 4.91745878e-16
2998.40 -5.27202677e-16 4.91843869e-16
2998.60 -9.56307185e-16 4.83345111e-16
2998.80 -2.26374743e-16 4.77917376e-16
2999.00 1.75433507e-16 4.77796198e-16
2999.20 1.98686308e-16 4.64032336e-16
2999.40 1.51826235e-16 4.60794711e-16
2999.60 -2.03485452e-14 1.78884397e-14
2999.80 -9.00643780e-15 1.80290048e-14
3000.00 -1.43592210e-14 1.76801882e-14
3000.20 5.60435250e-14 1.74457870e-14
3000.40 2.07529391e-14 1.69795598e-14
3000.60 -1.29694881e-14 1.65426263e-14
3000.80 -2.87007966e-14 1.62854908e-14
3001.00 -1.16156449e-14 1.60115146e-14
3001.20 3.18747578e-14 1.57954094e-14
3001.40 1.34129632e-14 1.57210721e-14
3001.60 -1.13921664e-15 1.54973521e-14
3001.80 -2.86337387e-14 1.50660836e-14
3002.00 -5.18572036e-14 1.55282180e-14
3002.20 -1.62978276e-15 1.42965050e-14
3002.40 1.91350181e-14 1.42802623e-14
3002.60 6.84218095e-15 1.36216527e-14
3002.80 1.57977777e-14 1.38125036e-14
3003.00 1.64135944e-14 1.33294407e-14
3003.20 -1.95382837e-14 1.31003403e-14
3003.40 -5.00977230e-14 1.30034745e-14
3003.60 1.92256387e-14 1.26985282e-14
3003.80 6.14396746e-15 1.26750442e-14
3004.00 1.14563027e-14 1.21007550e-14
3004.20 -2.44542562e-14 1.20181448e-14
3004.40 6.97789723e-15 1.16849948e-14
3004.60 -7.15699134e-15 1.16337460e-14
3004.80 -3.77294352e-15 1.13368567e-14
