SN_name     host_name host_ra[deg]      host_dec[deg]     SDSS
SN1986G     NGC5128   201.36506287933   -43.01911266736   No
SN1990N     NGC4639   190.7182422484079 +13.2574202581351 No
SN1998bu    NGC3368   161.690600        +11.819939        No
SN1999aa    NGC2595   126.924942        +21.479092        Yes
SN2002bo    NGC3190   154.523513        +21.831939        No
SN2003du    UGC9391   218.654220        +59.337826        Yes
SN2003gs    NGC936    036.906092        -01.156281        No
SN2003hv    NGC1201   046.033204        -26.069592        No
SN2004eo    NGC6928   308.209258        +09.926431        No
SN2006X     NGC4321   185.7288828545226 +15.8223039728230 No
SN2007af    NGC5584   215.599212        -00.387450        Yes
SN2007le    NGC7721   354.702700        -06.517864        No
SN2008Q     NGC524    021.198779        +09.538792        No
SN2011by    NGC3972   178.93787700      +55.32073500      Yes
SN2011fe    M101      210.802429        +54.348750        No
SN2012cg    NGC4424   186.7982279358507 +09.4206443926751 Yes
SN2012hr    PGC18880  095.4113573825762 -59.7399385311512 No 
SN2013aa    NGC5643   218.169908        -44.174611        No
SN2013cs    ESO576-17 198.803254        -17.966853        No
SN2013dy    NGC7250   334.574067        +40.562406        No
SN2013gy    NGC1418   055.567296        -04.730711        No
SN2014J     NGC3034   148.968458        +69.679703        No
SN2015F     NGC2422   114.146           -14.483           No
SN2017cbv   NGC5643   218.169908        -44.174611        No
SN2017fgc   NGC0474   020.027900        +03.415269        No
SN2018oh    UGC04780  136.664750        +19.336251        Yes
SN2018ein   NGC5353   208.3612          +40.2830          No
SN2019np    NGC3254   157.333008        +29.491439        No
ASASSN-14jg PGC128348 353.300963        -60.572269        No
