SN_name     host_name host_ra[deg]      host_dec[deg]     SDSS
SN1986G     NGC5128   201.36506287933   -43.01911266736   No
SN1990N     NGC4639   190.7182422484079 +13.2574202581351 No
SN1991T     NGC4527   188.535400        +02.653811        No
SN1993Z     NGC2775   137.583800        +07.037925        No
SN1994ae    NGC3370   161.766829        +17.273697        No
SN1995D     NGC2962   145.2247166125957 +05.1658392887546 No
SN1996X     NGC5061   199.521058        -26.837222        No
SN1998aq    NGC3982   179.11724200      +55.12523400      Yes 
SN1998bu    NGC3368   161.690600        +11.819939        No
SN1999aa    NGC2595   126.924942        +21.479092        Yes
SN2002bo    NGC3190   154.523513        +21.831939        No
SN2002dj    NGC5018   198.254167        -19.518297        No
SN2002er    UGC10743  257.8779319632019 +07.9946507397764 No
SN2003cg    NGC3169   153.562912        +03.466119        No
SN2003du    UGC9391   218.654220        +59.337826        Yes
SN2003gs    NGC936    036.906092        -01.156281        No
SN2003hv    NGC1201   046.033204        -26.069592        No
SN2003kf    PGC18373  091.1462          -12.6247          No
SN2004eo    NGC6928   308.209258        +09.926431        No
SN2006X     NGC4321   185.7288828545226 +15.8223039728230 No
SN2007af    NGC5584   215.599212        -00.387450        Yes
SN2007le    NGC7721   354.702700        -06.517864        No
SN2008Q     NGC524    021.198779        +09.538792        No
SN2009ig    NGC1015   039.548187        -01.318617        No
SN2009le    ESO478-6  032.325321        -23.415067        No
SN2010ev    NGC3244   156.370208        -39.827564        No
SN2010gp    NGC6240   253.245254        +02.400986        No
SN2011by    NGC3972   178.93787700      +55.32073500      Yes
SN2011ek    NGC918    036.4616295845408 +18.4962178153219 No
SN2011fe    M101      210.802429        +54.348750        No
SN2011im    NGC7364   341.1015451267039 -00.1621245310291 Yes
SN2011iv    NGC1404   054.716321        -35.594392        No
SN2012cg    NGC4424   186.7982279358507 +09.4206443926751 Yes
SN2012fr    NGC1365   053.401908        -36.140658        No
SN2012hr    PGC18880  095.4113573825762 -59.7399385311512 No 
SN2013aa    NGC5643   218.169908        -44.174611        No
SN2013cs    ESO576-17 198.803254        -17.966853        No
SN2013dy    NGC7250   334.574067        +40.562406        No
SN2013gy    NGC1418   055.567296        -04.730711        No
SN2014J     NGC3034   148.968458        +69.679703        No
SN2015F     NGC2422   114.146           -14.483           No
SN2017cbv   NGC5643   218.169908        -44.174611        No
SN2017fgc   NGC0474   020.027900        +03.415269        No
SN2018oh    UGC04780  136.664750        +19.336251        Yes
SN2018ein   NGC5353   208.3612          +40.2830          No
SN2019np    NGC3254   157.333008        +29.491439        No
ASASSN-14jg PGC128348 353.300963        -60.572269        No
