Abundances of radioactive isotopes at the end of the simulation in solar masses

 c14 7.02e-06
na22 8.67e-09
al26 1.08e-06
si32 2.01e-08
 p32 6.29e-07
 p33 4.56e-07
 s35 7.13e-07
cl36 9.15e-07
ar37 3.54e-05
ar39 1.50e-08
 k40 6.72e-08
ca41 6.20e-06
ti44 1.19e-05
 v48 9.77e-08
 v49 4.00e-07
cr48 3.77e-04
cr49 3.01e-05
cr51 1.03e-05
mn51 1.08e-04
mn52 5.87e-06
mn53 2.67e-04
mn54 3.86e-06
fe52 9.01e-03
fe53 1.08e-03
fe55 2.12e-03
fe59 1.07e-08
fe60 2.35e-09
co55 1.13e-02
co56 1.19e-04
co57 9.92e-04
co58 5.14e-06
co60 4.97e-08
ni56 5.12e-01
ni57 1.45e-02
ni59 4.23e-04
ni63 5.31e-08
zn62 1.34e-04
zn65 5.23e-10
ga65 2.07e-08
ge68 2.84e-10



Abundances of stable isotopes after about 2 Gyr in solar masses

  h1 3.07e-15
  h2 0.00e+00
 he3 0.00e+00
 he4 3.07e-04
 li6 2.36e-20
 li7 6.89e-19
 be9 9.73e-29
 b10 5.66e-15
 b11 7.05e-12
 c12 8.88e-03
 c13 4.98e-08
 n14 9.17e-06
 n15 1.14e-08
 o16 1.21e-01
 o17 1.23e-06
 o18 1.25e-08
 f19 1.36e-10
ne20 6.76e-03
ne21 1.08e-06
ne22 2.12e-04
na23 8.54e-05
mg24 1.97e-02
mg25 1.33e-04
mg26 2.01e-04
al27 9.68e-04
si28 3.19e-01
si29 1.29e-03
si30 2.87e-03
 p31 6.85e-04
 s32 1.27e-01
 s33 3.65e-04
 s34 4.22e-03
 s36 3.23e-07
cl35 2.00e-04
cl37 3.63e-05
ar36 2.08e-02
ar38 1.96e-03
ar40 1.35e-08
 k39 1.10e-04
 k41 6.21e-06
ca40 1.78e-02
ca42 4.22e-05
ca43 6.03e-08
ca44 1.19e-05
ca46 5.65e-11
ca48 8.89e-14
sc45 2.20e-07
ti46 2.17e-05
ti47 7.44e-07
ti48 3.78e-04
ti49 3.05e-05
ti50 1.25e-06
 v50 6.72e-09
 v51 1.20e-04
cr50 5.05e-04
cr52 9.85e-03
cr53 1.36e-03
cr54 3.24e-05
mn55 1.35e-02
fe54 1.03e-01
fe56 5.33e-01
fe57 1.56e-02
fe58 2.13e-04
co59 5.03e-04
ni58 6.26e-02
ni60 4.57e-03
ni61 2.56e-05
ni62 3.01e-04
ni64 1.63e-07
cu63 3.23e-07
cu65 4.13e-08
zn64 6.42e-07
zn66 7.64e-07
zn67 4.91e-10
zn68 5.91e-10
zn70 1.47e-14
ga69 8.44e-13
ga71 9.47e-15
ge70 5.33e-13



Abundances of stable elements after about 2 Gyr in solar masses

  h 3.07e-15
 he 3.07e-04
 li 7.12e-19
 be 9.73e-29
  b 7.05e-12
  c 8.88e-03
  n 9.18e-06
  o 1.21e-01
  f 1.36e-10
 ne 6.97e-03
 na 8.54e-05
 mg 2.00e-02
 al 9.68e-04
 si 3.23e-01
  p 6.85e-04
  s 1.31e-01
 cl 2.36e-04
 ar 2.28e-02
  k 1.16e-04
 ca 1.78e-02
 sc 2.20e-07
 ti 4.32e-04
  v 1.20e-04
 cr 1.17e-02
 mn 1.35e-02
 fe 6.52e-01
 co 5.03e-04
 ni 6.75e-02
 cu 3.64e-07
 zn 1.41e-06
 ga 8.53e-13
 ge 5.33e-13
