phase 340
delta 0.85 0.05
ebv 0.0177
Rv 3.1
redshift 0.004
flux_scale 1e16
resolution 4
vSi 11.90 0.10
3490.630935 0.0 0.0
3494.402622 3.00264e-18 3.00264e-18
3498.174308 -1.957149e-18 -1.957149e-18
3501.945995 2.085811e-17 2.085811e-17
3505.717682 2.044971e-17 2.044971e-17
3509.489368 1.04064e-16 1.04064e-16
3513.261055 -4.92175e-17 -4.92175e-17
3517.032741 1.212523e-16 1.212523e-16
3520.804428 -3.174579e-17 -3.174579e-17
3524.576115 1.583025e-16 1.583025e-16
3528.347801 6.865252e-17 6.865252e-17
3532.119488 -4.329585e-18 -4.329585e-18
3535.891174 -2.0596e-17 -2.0596e-17
3539.662861 4.770063e-17 4.770063e-17
3543.434548 4.295477e-17 4.295477e-17
3547.206234 3.837211e-17 3.837211e-17
3550.977921 6.041026e-17 6.041026e-17
3554.749607 -1.661175e-18 -1.661175e-18
3558.521294 -2.673702e-18 -2.673702e-18
3562.292981 -2.003699e-17 -2.003699e-17
3566.064667 5.497493e-17 5.497493e-17
3569.836354 9.995607e-17 9.995607e-17
3573.608040 1.705393e-16 1.705393e-16
3577.379727 1.487503e-17 1.487503e-17
3581.151414 4.347019e-17 4.347019e-17
3584.923100 6.84007e-18 6.84007e-18
3588.694787 4.573363e-17 4.573363e-17
3592.466473 1.036853e-16 1.036853e-16
3596.238160 1.253305e-16 1.253305e-16
3600.009847 -1.037512e-17 -1.037512e-17
3603.781533 8.197313e-17 8.197313e-17
3607.553220 -3.57032e-17 -3.57032e-17
3611.324906 -1.427511e-17 -1.427511e-17
3615.096593 5.729515e-17 5.729515e-17
3618.868280 -2.731435e-18 -2.731435e-18
3622.639966 -1.201388e-16 -1.201388e-16
3626.411653 -3.662372e-17 -3.662372e-17
3630.183339 1.041801e-16 1.041801e-16
3633.955026 -3.335836e-17 -3.335836e-17
3637.726713 -6.326449e-17 -6.326449e-17
3641.498399 -2.509282e-17 -2.509282e-17
3645.270086 4.145948e-17 4.145948e-17
3649.041772 4.496155e-17 4.496155e-17
3652.813459 1.34371e-16 1.34371e-16
3656.585146 1.741878e-17 1.741878e-17
3660.356832 7.555014e-18 7.555014e-18
3664.128519 -2.446199e-17 -2.446199e-17
3667.900205 4.361098e-17 4.361098e-17
3671.671892 -5.377139e-18 -5.377139e-18
3675.443579 1.9113e-17 1.9113e-17
3679.215265 8.343785e-17 8.343785e-17
3682.986952 -6.625721e-17 -6.625721e-17
3686.758638 -2.753468e-17 -2.753468e-17
3690.530325 5.658089e-17 5.658089e-17
3694.302012 2.698072e-17 2.698072e-17
3698.073698 6.652112e-17 6.652112e-17
3701.845385 6.716452e-17 6.716452e-17
3705.617071 -2.74009e-17 -2.74009e-17
3709.388758 4.494463e-17 4.494463e-17
3713.160445 4.361031e-18 4.361031e-18
3716.932131 -6.928885e-18 -6.928885e-18
3720.703818 -7.715955e-18 -7.715955e-18
3724.475504 5.467019e-17 5.467019e-17
3728.247191 5.058937e-17 5.058937e-17
3732.018878 1.28578e-17 1.28578e-17
3735.790564 -2.502947e-17 -2.502947e-17
3739.562251 3.986084e-17 3.986084e-17
3743.333937 9.055121e-18 9.055121e-18
3747.105624 1.43731e-17 1.43731e-17
3750.877311 2.125525e-17 2.125525e-17
3754.648997 5.064439e-17 5.064439e-17
3758.420684 7.601847e-18 7.601847e-18
3762.192370 2.810162e-17 2.810162e-17
3765.964057 1.775926e-17 1.775926e-17
3769.735744 5.518726e-17 5.518726e-17
3773.507430 1.32832e-17 1.32832e-17
3777.279117 -8.004412e-18 -8.004412e-18
3781.050803 1.48603e-17 1.48603e-17
3784.822490 5.947315e-17 5.947315e-17
3788.594177 9.091365e-18 9.091365e-18
3792.365863 3.567419e-17 3.567419e-17
3796.137550 3.562589e-17 3.562589e-17
3799.909236 5.932208e-18 5.932208e-18
3803.680923 9.13499e-18 9.13499e-18
3807.452610 -1.335603e-18 -1.335603e-18
3811.224296 -8.647205e-18 -8.647205e-18
3814.995983 3.037321e-17 3.037321e-17
3818.767669 4.455888e-17 4.455888e-17
3822.539356 -3.628149e-18 -3.628149e-18
3826.311042 1.351244e-17 1.351244e-17
3830.082729 9.111933e-18 9.111933e-18
