phase 191
delta 1.30 0.02
ebv 0.05
Rv 3.1
redshift 0.007755
flux_scale 1
resolution 1
vSi 15.00 0.20
3.202184183522404965e+03 4.991758073708486149e-03 2.001111888682569409e-02
3.203368367044809929e+03 -1.053658053718636335e-02 2.056646374872977620e-02
3.204552550567214894e+03 9.894024332181276804e-03 1.912223455954065524e-02
3.205736734089619858e+03 -1.700855701905537240e-02 1.993093671663341560e-02
3.206920917612024823e+03 -9.618246700478403147e-03 1.921704827380414649e-02
3.208105101134429788e+03 -1.232831706972223156e-03 1.936331249213327915e-02
3.209289284656834752e+03 1.296190119029041674e-02 2.057911644499679782e-02
3.210473468179239717e+03 5.679404507933008680e-04 2.061759782143258307e-02
3.211657651701644681e+03 -2.513643039802937809e-02 2.155508697149174577e-02
3.212841835224049646e+03 9.034264157427283198e-03 1.935580924967844618e-02
3.214026018746454611e+03 -4.668175581757175174e-02 2.002988516623361442e-02
3.215210202268859575e+03 5.062703103368979170e-03 1.846213636702139643e-02
3.216394385791264540e+03 -4.869224810276791965e-02 1.918653929530853702e-02
3.217578569313669504e+03 -3.452590019583393066e-02 1.781098285205565818e-02
3.218762752836074469e+03 -2.294011565860615970e-02 1.818173877410133796e-02
3.219946936358479434e+03 -2.012916034318673261e-02 1.779173268727844703e-02
3.221131119880884398e+03 3.410287734447884495e-02 1.870002502776118777e-02
3.222315303403289363e+03 3.487344931919112573e-02 1.704524023206491906e-02
3.223499486925694328e+03 -1.792188454346075113e-02 1.721094710884410114e-02
3.224683670448099292e+03 -1.356788255268406938e-03 1.733666179784342995e-02
3.225867853970504257e+03 1.480914674938694359e-02 1.655090398719336400e-02
3.227052037492909221e+03 -2.203593279261974180e-02 1.713547284819395833e-02
3.228236221015314186e+03 2.539909304615278404e-02 1.661453569909088906e-02
3.229420404537719151e+03 3.354000817196275269e-02 1.610614748601348067e-02
3.230604588060124115e+03 1.724092137871858360e-02 1.621076583310147173e-02
3.231788771582529080e+03 4.378702478820923477e-02 1.531639379785830653e-02
3.232972955104934044e+03 3.868128323864444829e-02 1.488914646679551958e-02
3.234157138627339009e+03 1.570443398011127237e-03 1.458623743357225291e-02
3.235341322149743974e+03 -3.396197506935672711e-02 1.550443223966119395e-02
3.236525505672148938e+03 -2.273224692269440808e-02 1.424808824715950370e-02
3.237709689194553903e+03 1.583800907096434563e-02 1.433577590566757071e-02
3.238893872716958867e+03 -2.187474274155023352e-02 1.568565680726689837e-02
3.240078056239363832e+03 1.345459255249613513e-04 1.634012659094248240e-02
3.241262239761768797e+03 -3.109944829986034318e-02 1.782449685607067486e-02
3.242446423284173761e+03 1.117363085843019015e-02 1.709768334973441745e-02
3.243630606806578726e+03 1.791699056371674412e-02 1.650242799549431205e-02
3.244814790328983690e+03 -9.039665224275005365e-03 1.586836506427889704e-02
3.245998973851388655e+03 -3.724920852735020237e-03 1.495051237252817064e-02
3.247183157373793620e+03 1.952864932332282200e-02 1.382451934378324532e-02
3.248367340896198584e+03 1.058107200707747268e-02 1.420313207049330763e-02
3.249551524418603549e+03 1.119149875896015625e-02 1.445588074815279574e-02
3.250735707941008513e+03 2.319643353470446367e-02 1.387390802980910907e-02
3.251919891463413478e+03 6.720371735468986217e-03 1.352116506171546426e-02
3.253104074985818443e+03 3.293332569628704132e-02 1.397701106809764830e-02
3.254288258508223407e+03 3.077479182154634757e-02 1.371897572475567866e-02
3.255472442030628372e+03 2.471488220843396158e-02 1.320717660351642710e-02
3.256656625553033336e+03 -1.678791042300570606e-03 1.471946212705346063e-02
3.257840809075438301e+03 -6.118831289062647005e-03 1.461080661260394375e-02
3.259024992597843266e+03 1.704229687329532512e-03 1.433936139133304075e-02
3.260209176120248230e+03 2.057002006758990378e-02 1.391631305264478397e-02
3.261393359642653195e+03 1.334461196065237810e-02 1.402669301422558579e-02
3.262577543165058160e+03 -1.137436390780366575e-02 1.284341721375867329e-02
3.263761726687463124e+03 -2.968772626010608966e-03 1.233734479765246153e-02
3.264945910209868089e+03 8.213101988641800799e-03 1.230553560061530688e-02
3.266130093732273053e+03 -6.667696109836356022e-03 1.217751058509215605e-02
3.267314277254678018e+03 -1.137247747662106269e-02 1.270012165015548672e-02
3.268498460777082983e+03 1.392841398476844274e-02 1.239887307257023751e-02
3.269682644299487947e+03 2.798167106248239215e-03 1.273638518478587174e-02
3.270866827821892912e+03 -3.728349135410410908e-02 1.294858528171941719e-02
3.272051011344297876e+03 -5.167158355125010816e-02 1.352572389053775283e-02
3.273235194866702841e+03 -6.439353216150061482e-03 1.327382326721570326e-02
3.274419378389107806e+03 -2.230224906435259932e-02 1.337588729183909753e-02
3.275603561911512770e+03 3.791573074820809436e-02 1.346798838382612211e-02
3.276787745433917735e+03 -3.059900233911548063e-03 1.277291236884485481e-02
3.277971928956322699e+03 2.283848515308967500e-02 1.273459027772227622e-02
3.279156112478727664e+03 -3.719252840884906125e-03 1.167189452963894591e-02
3.280340296001132629e+03 2.938186732890949501e-03 1.136531681612932936e-02
3.281524479523537593e+03 -2.479631392532389428e-02 1.142420559512473399e-02
3.282708663045942558e+03 9.111854565216376267e-03 1.115603851913478384e-02
3.283892846568347522e+03 1.546214155714284791e-02 1.073847839344726530e-02
3.285077030090752487e+03 1.549721221291038356e-02 1.106337468859777858e-02
3.286261213613157452e+03 1.110758036729556780e-02 1.108006545269841873e-02
3.287445397135562416e+03 -2.180564331506892189e-02 1.229471232632144834e-02
3.288629580657967381e+03 -3.884233903167554069e-02 1.287050311892000941e-02
3.289813764180372345e+03 9.515647412355908441e-03 1.306476735090375541e-02
3.290997947702777310e+03 -1.846775736764593584e-02 1.301577958258811479e-02
3.292182131225182275e+03 2.378585231433875610e-02 1.217136284352822451e-02
3.293366314747587239e+03 -7.184767142717387277e-03 1.136903795474466204e-02
3.294550498269992204e+03 2.718574358027389063e-03 1.075471718478438962e-02
3.295734681792397168e+03 1.068958266863717296e-02 1.235309077165872710e-02
3.296918865314802133e+03 4.393951486797200573e-02 1.128989221363931733e-02
3.298103048837207098e+03 1.065460154080789465e-02 9.719013028227434584e-03
3.299287232359612062e+03 -2.663769260415885329e-03 9.980457304537714361e-03
3.300471415882017027e+03 -1.153619185907746834e-02 9.931060711903468702e-03
3.301655599404421991e+03 -3.494625465341641857e-03 9.386016491357748390e-03
3.302839782926826956e+03 5.929297987772736691e-04 1.007447375531055588e-02
3.304023966449231921e+03 -8.990263309279803230e-03 9.850916599255835418e-03
3.305208149971636885e+03 1.057680441083038748e-02 1.033883085189757356e-02
3.306392333494041850e+03 -1.278382145290115485e-02 1.136753545440062629e-02
3.307576517016446815e+03 -1.758369852084109772e-02 1.093747518811283639e-02
3.308760700538851779e+03 -2.286303925055496039e-02 1.055108752410505689e-02
3.309944884061256744e+03 -7.187966744019256421e-03 1.007637936760602884e-02
3.311129067583661708e+03 1.520264026521164595e-02 9.398719279369791013e-03
3.312313251106066673e+03 1.122806865420404240e-02 9.797698245852972179e-03
3.313497434628471638e+03 8.169802098373028787e-03 9.534766745296541571e-03
3.314681618150876602e+03 -7.184184094532634034e-03 9.927261592290679768e-03
3.315865801673281567e+03 3.102375804074869459e-02 9.148035867710586216e-03
