phase 263
delta 1.08 0.02
ebv 0.12
Rv 3.1
redshift 0.009346
flux_scale 1
resolution 2
vSi 11.09 0.08
      3622.00   0.00467482    0.0136728
      3624.00    0.0169691    0.0141574
      3626.00   0.00611808    0.0141081
      3628.00   0.00613065    0.0142797
      3630.00   -0.0111432    0.0145665
      3632.00    0.0223755    0.0149226
      3634.00  -0.00808389    0.0149674
      3636.00  -0.00104503    0.0147096
      3638.00   0.00993722    0.0151885
      3640.00    0.0209195    0.0147475
      3642.00   -0.0138179    0.0145070
      3644.00  -0.00386196    0.0148904
      3646.00   0.00762586    0.0143006
      3648.00   0.00282721    0.0157137
      3650.00  -0.00197145    0.0166544
      3652.00  -0.00677010    0.0159626
      3654.00    0.0164544    0.0156709
      3656.00   0.00708018    0.0152801
      3658.00    0.0114698    0.0143941
      3660.00    0.0145343    0.0141092
      3662.00    0.0172641    0.0150466
      3664.00   0.00860166    0.0149540
      3666.00 -6.07400e-05    0.0141379
      3668.00  -0.00460925    0.0139100
      3670.00    0.0188845    0.0135297
      3672.00    0.0178892    0.0135024
      3674.00  -0.00301940    0.0136162
      3676.00    0.0169097    0.0131340
      3678.00 -3.80500e-05    0.0130472
      3680.00   0.00437783    0.0134905
      3682.00   0.00879372    0.0129457
      3684.00   0.00412851    0.0128777
      3686.00    0.0244501    0.0128085
      3688.00    0.0309630    0.0128255
      3690.00    0.0280721    0.0127885
      3692.00    0.0223900    0.0126834
      3694.00    0.0302954    0.0127928
      3696.00   0.00363580    0.0121987
      3698.00   0.00131543    0.0122728
      3700.00   -0.0116058    0.0129353
      3702.00    0.0105821    0.0127987
      3704.00   0.00765215    0.0124378
      3706.00    0.0147804    0.0121973
      3708.00    0.0221012    0.0124348
      3710.00   0.00409491    0.0120065
      3712.00    0.0333910    0.0121742
      3714.00  -0.00804636    0.0117339
      3716.00  -0.00407805    0.0116476
      3718.00   -0.0107528    0.0114509
      3720.00  -0.00371769    0.0110392
      3722.00  -0.00577564    0.0110385
      3724.00   0.00697060    0.0113042
      3726.00    0.0180634    0.0116356
      3728.00   -0.0106445    0.0115583
      3730.00    0.0112223    0.0113740
      3732.00    0.0227574    0.0113962
      3734.00   0.00787516    0.0113098
      3736.00    0.0171154    0.0113444
