Name    phase delta15 redshift ebv vSi        Ni/Fe               vFe                 vNi                 wFe               wNi              flux ratio
SN1986G 256 1.81 0.07 0.001825 1.1 10.48 0.15 0.08273119459206128 567.9997279892435 -335.6504033744212 9016.014123388692 4752.634929736616 0.4191975393353566
SN1990N 227 0.95 0.05 0.003369 0.02 9.38 0.15 0.23265550896491954 -1898.1007312686704 -3106.8438686980835 6406.324017831768 12772.862236593994 1.1788614603211338
SN1990N 280 0.95 0.05 0.003369 0.02 9.38 0.15 0.13768952090413702 -1070.9454858005008 -633.8825046780516 8067.960702781174 8990.984102380444 0.6976704330196749
SN1990N 305 0.95 0.05 0.003369 0.02 9.38 0.15 0.18235982227791633 -1264.1123898911144 -1344.7169784476243 6844.345302717767 9862.520754848852 0.9240140813809905
SN1998bu 237 1.06 0.04 0.002992 0.34 10.5 0.1 0.21875707035783312 -1395.3027830330257 -984.6624024912765 6997.876128031115 7340.430612771299 1.1084383110674279
SN1998bu 281 1.06 0.04 0.002992 0.34 10.5 0.1 0.17536393562634994 -1329.7398490284218 -1018.3305779343676 7225.4356929692385 6527.581446683706 0.8885660441047691
SN1999aa 258 0.81 0.02 0.014907 0.03 10.5 0.2 0.1227929556868701 264.28909066626983 796.0765633634015 7045.50923673418 7084.8593594251 0.622189793408239

SN2002er 213 1.32 0.03 0.009063 0.36 11.7 0.3 0.07318248372025674 1828.412360431253 1335.1291027404511 10499.817648574646 4685.711540693033 0.37081438566493524

SN2002bo 311 1.15 0.03 0.0043 0.43 13.2 0.2 0.3964357105299424 1728.3210072613685 2390.01001819128 5872.27253951913 7821.578539671058 2.0087329232734463
SN2003cg 384 1.17 0.04 0.004113 1.33 10.9 0.3 0.3316908122555099 -1371.9288143318354 -486.115247493768 7983.981609413487 11195.807972992887 1.6806716378660618
SN2003du 219 1.0 0.02 0.006408 0.01 10.4 0.3 0.14263009177627348 -1556.2285042867607 -1099.4550590381903 7997.621233219844 8377.814450778158 0.7227042206100004
